source_group_id,template,norm_ro_ne_norm_rs,render_ro_ne_rs,render_deterministic
4ac100f8d53d9f95785c499a24bff4d96fdeced0966b21ee7403971c9268cd5a,T3,True,True,True
4ac100f8d53d9f95785c499a24bff4d96fdeced0966b21ee7403971c9268cd5a,T4,True,True,True
4ac100f8d53d9f95785c499a24bff4d96fdeced0966b21ee7403971c9268cd5a,T5,True,True,True
4c22a7020fcc075f9f948b5b4c877ceab447932756009ccd5e0296cb1c4146fd,T0,True,True,True
4c22a7020fcc075f9f948b5b4c877ceab447932756009ccd5e0296cb1c4146fd,T3,True,True,True
4c22a7020fcc075f9f948b5b4c877ceab447932756009ccd5e0296cb1c4146fd,T4,True,True,True
4c22a7020fcc075f9f948b5b4c877ceab447932756009ccd5e0296cb1c4146fd,T5,True,True,True
50e89b0ddd95fe081a170155268d88b5637809604696c7a6f1e8c642f2b54c5a,T0,True,True,True
50e89b0ddd95fe081a170155268d88b5637809604696c7a6f1e8c642f2b54c5a,T3,True,True,True
50e89b0ddd95fe081a170155268d88b5637809604696c7a6f1e8c642f2b54c5a,T4,True,True,True
50e89b0ddd95fe081a170155268d88b5637809604696c7a6f1e8c642f2b54c5a,T5,True,True,True
510f55edebf39d8098e25f20bf735eb0ce82fee4ce7abf755d8d378d0ae4f9c5,T0,True,True,True
510f55edebf39d8098e25f20bf735eb0ce82fee4ce7abf755d8d378d0ae4f9c5,T3,True,True,True
510f55edebf39d8098e25f20bf735eb0ce82fee4ce7abf755d8d378d0ae4f9c5,T4,True,True,True
510f55edebf39d8098e25f20bf735eb0ce82fee4ce7abf755d8d378d0ae4f9c5,T5,True,True,True
52aba3c550dabe11b7e047ff5a4addc223e7b2d24ee14924ca69cfc2dae3b724,T0,True,True,True
52aba3c550dabe11b7e047ff5a4addc223e7b2d24ee14924ca69cfc2dae3b724,T3,True,True,True
52aba3c550dabe11b7e047ff5a4addc223e7b2d24ee14924ca69cfc2dae3b724,T4,True,True,True
52aba3c550dabe11b7e047ff5a4addc223e7b2d24ee14924ca69cfc2dae3b724,T5,True,True,True
53a9a275a436d8bd4aa6f496fd454816a1ff515b21770e062f15a0df2cb4322d,T0,True,True,True
53a9a275a436d8bd4aa6f496fd454816a1ff515b21770e062f15a0df2cb4322d,T3,True,True,True
53a9a275a436d8bd4aa6f496fd454816a1ff515b21770e062f15a0df2cb4322d,T4,True,True,True
53a9a275a436d8bd4aa6f496fd454816a1ff515b21770e062f15a0df2cb4322d,T5,True,True,True
