source_group_id,cell,r_end,c_end,d_pos,order_ok,r_end_tok,c_end_tok,d_pos_tok,prediction_match,d1_d_raw,our_d_raw,d_raw_abs_diff,seq_len
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,SS,98,107,115,True,1534,1534,198,True,-11.625,-11.625,0.0,116
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,OO,109,118,126,True,25938,25938,198,True,17.375,17.375,0.0,127
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,OS,109,118,126,True,25938,24761,198,True,-21.875,-21.875,0.0,127
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,SO,109,118,126,True,24761,25938,198,True,-17.25,-17.25,0.0,127
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,SS,109,118,126,True,24761,24761,198,True,-13.1875,-13.1875,0.0,127
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,OO,99,107,115,True,44512,44512,198,True,19.46875,19.46875,0.0,116
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,OS,99,107,115,True,44512,9387,198,True,-18.984375,-18.984375,0.0,116
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,SO,99,107,115,True,9387,44512,198,True,-17.671875,-17.671875,0.0,116
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,SS,99,107,115,True,9387,9387,198,True,-9.0,-9.0,0.0,116
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,OO,103,111,119,True,58754,58754,198,True,15.33984375,15.33984375,0.0,120
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,OS,103,111,119,True,58754,11051,198,True,-19.0625,-19.0625,0.0,120
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,SO,103,111,119,True,11051,58754,198,True,-16.03125,-16.03125,0.0,120
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,SS,103,111,119,True,11051,11051,198,True,8.34375,8.34375,0.0,120
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,OO,102,111,119,True,5944,5944,198,True,18.1875,18.1875,0.0,120
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,OS,102,111,119,True,5944,50452,198,True,-21.65625,-21.65625,0.0,120
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,SO,102,111,119,True,50452,5944,198,True,-17.640625,-17.640625,0.0,120
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,SS,102,111,119,True,50452,50452,198,True,-19.0,-19.0,0.0,120
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,OO,95,103,111,True,6819,6819,198,True,17.796875,17.796875,0.0,112
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,OS,95,105,113,True,6819,14406,198,True,-21.3125,-21.3125,0.0,114
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,SO,97,105,113,True,14406,6819,198,True,-15.6015625,-15.6015625,0.0,114
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,SS,97,107,115,True,14406,14406,198,True,-9.625,-9.625,0.0,116
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,OO,99,108,116,True,8346,8346,198,True,17.90625,17.90625,0.0,117
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,OS,99,108,116,True,8346,39127,198,True,-22.3125,-22.3125,0.0,117
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,SO,99,108,116,True,39127,8346,198,True,-19.875,-19.875,0.0,117
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,SS,99,108,116,True,39127,39127,198,True,10.75,10.75,0.0,117
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,OO,101,110,118,True,31217,31217,198,True,16.515625,16.515625,0.0,119
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,OS,101,110,118,True,31217,80373,198,True,-22.625,-22.625,0.0,119
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,SO,101,110,118,True,80373,31217,198,True,-11.09375,-11.09375,0.0,119
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,SS,101,110,118,True,80373,80373,198,True,-17.75390625,-17.75390625,0.0,119
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,OO,102,111,119,True,16155,16155,198,True,15.734375,15.734375,0.0,120
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,OS,102,110,118,True,16155,26374,198,True,-21.21875,-21.21875,0.0,119
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,SO,101,110,118,True,26374,16155,198,True,-16.3046875,-16.3046875,0.0,119
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,SS,101,109,117,True,26374,26374,198,True,-13.453125,-13.453125,0.0,118
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,OO,99,107,115,True,90390,90390,198,True,18.875,18.875,0.0,116
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,OS,99,109,117,True,90390,10704,198,True,-21.65625,-21.65625,0.0,118
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,SO,101,109,117,True,10704,90390,198,True,-14.580078125,-14.580078125,0.0,118
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,SS,101,111,119,True,10704,10704,198,True,-11.125,-11.125,0.0,120
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,OO,101,109,117,True,6291,6291,198,True,17.765625,17.765625,0.0,118
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,OS,101,110,118,True,6291,5269,198,True,-20.90625,-20.90625,0.0,119
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,SO,102,110,118,True,5269,6291,198,True,-14.48046875,-14.48046875,0.0,119
